0,1,2,3,4,5,6,7,8,9
1,E84A904909dF528,Liu-Hoover,http_colon_//www.day-hartman.org/,Western Sahara,Ergonomic zero administration knowledge user,1980,Online Publishing,6852.txt,
10,9ABE0c8aee135d6,Osborn, Ford and Macdonald,http_colon_//www.mcdonald-watts.biz/,Syrian Arab Republic,Optional coherent focus group,1990,Investment Banking / Venture,5731.txt
100,06Df66C7ec45CF9,Malone-Odom,https_colon_//roy.com/,Nepal,Persevering tertiary intranet,1997,Alternative Medicine,4897.txt,
1000,3ddb89ecD83B533,Maddox, Owen and Shepherd,https_colon_//www.hamilton.com/,Guinea,Reactive bottom-line pricing structure,2019,Animation,4467.txt
101,9Dd10a3ccB2B1Bd,Gamble-Hill,https_colon_//www.chaney-eaton.com/,Brunei Darussalam,Extended zero administration database,1993,Computer / Network Security,3468.txt,
102,51D98A4d3dbc733,Russo, Berger and Hopkins,http_colon_//casey-archer.com/,Micronesia,Synergistic cohesive parallelism,2011,Insurance,3415.txt
103,c763F85Cc571e19,Wilcox LLC,https_colon_//www.holder.info/,Brazil,Organized user-facing analyzer,1988,Computer Games,8471.txt,
104,9FB0F575EDa185e,Pham-Bond,https_colon_//www.vance.com/,Comoros,Multi-tiered grid-enabled flexibility,1987,Real Estate / Mortgage,6746.txt,
105,84eE8fCfEAbB3E1,Bush and Sons,https_colon_//www.harrison-cantrell.info/,Tunisia,Stand-alone holistic throughput,2015,Railroad Manufacture,6321.txt,
106,c18b4aaD9AdF4cF,Donaldson Group,https_colon_//www.horton.biz/,Belarus,Streamlined coherent functionalities,2016,Shipbuilding,1027.txt,
107,2A7407b15FB99De,Heath-Barrera,https_colon_//www.shah.com/,Senegal,Innovative fresh-thinking capability,2018,Retail Industry,9569.txt,
108,96BBBefa9D8DaEc,Ward and Sons,https_colon_//www.porter.com/,France,Distributed intermediate conglomeration,2001,Veterinary,8887.txt,
109,c85a9a15aaD5EF6,Nielsen-Cooper,https_colon_//rojas-braun.com/,Tunisia,Polarized composite circuit,1975,Law Practice / Law Firms,5303.txt,
11,C494aBe0CDB9c70,Gonzales Inc,http_colon_//lara.org/,Angola,Enterprise-wide attitude-oriented conglomeration,2019,Capital Markets / Hedge Fund / Private Equity,2252.txt,
110,Df5EA12EAde4A57,Davies-Fox,https_colon_//www.kramer.net/,Philippines,Devolved heuristic standardization,1982,Program Development,6397.txt,
111,702ce2294FEb1a9,Griffith Group,http_colon_//www.brock.info/,Djibouti,Monitored disintermediate adapter,2009,Furniture,1839.txt,
112,f8BE211aFDEbb11,Welch, Blake and Hamilton,https_colon_//case-mathews.info/,Singapore,Profit-focused systematic contingency,1972,Program Development,2059.txt
113,2e115d638A08555,Henry, Mendoza and Holder,https_colon_//villegas-odom.com/,Yemen,Devolved local productivity,2014,Renewables / Environment,1126.txt
114,dDba684d69764EB,Conley Group,http_colon_//santana.com/,British Indian Ocean Territory (Chagos Archipelago),Balanced coherent contingency,2013,Events Services,3806.txt,
115,A6fBFF338EF6daF,Duncan-Bradshaw,https_colon_//lawson-douglas.com/,Oman,Multi-tiered intermediate process improvement,1998,Wine / Spirits,7209.txt,
116,F801BAC42f9ac1F,Rowland Group,http_colon_//www.sutton-reynolds.com/,Antigua and Barbuda,Assimilated stable capacity,2000,Computer Games,4998.txt,
117,BD5d1C11032C2C0,Pacheco, Wheeler and Watts,http_colon_//www.hoffman-floyd.com/,Solomon Islands,Reduced multi-state interface,1971,Wireless,5726.txt
118,F9A0D3AD04Fd9Fe,Mccann LLC,https_colon_//www.duran.com/,Malaysia,Self-enabling 24hour firmware,2009,Maritime,7152.txt,
119,53b148AfFae7F4c,Case, Luna and Ballard,https_colon_//www.odonnell.com/,Korea,Customer-focused reciprocal circuit,1976,Market Research,1202.txt
12,9FBF69aa2D9AAF1,Ballard, Goodman and Boone,http_colon_//berger-chen.info/,Iran,Multi-layered zero administration ability,2019,Logistics / Procurement,6165.txt
120,0dCA8aFEfdA7CFA,Hardy-Clements,http_colon_//rollins.com/,El Salvador,Automated transitional model,2010,Machinery,8486.txt,
121,4B8B4E2fF70cd78,Snyder, Levine and Dodson,http_colon_//www.horn-sloan.net/,Saudi Arabia,Decentralized bandwidth-monitored website,2019,Museums / Institutions,8656.txt
122,C49FF4A4319C6F2,Lopez, Moyer and Crane,https_colon_//www.patterson-leonard.com/,Western Sahara,De-engineered transitional success,1985,Mechanical or Industrial Engineering,9665.txt
123,E8920CaBc59fb1e,Robles-Hubbard,http_colon_//santos.com/,Micronesia,Stand-alone client-server matrix,2021,Executive Office,3536.txt,
124,C3Ea6c9A31EDf44,Sanchez-Bell,https_colon_//www.grant-duffy.com/,Lao People's Democratic Republic,Automated upward-trending emulation,1987,Graphic Design / Web Design,9240.txt,
125,DcFdAc12Eca9f34,Adams and Sons,https_colon_//www.paul.biz/,Philippines,Organized motivating protocol,1987,Computer / Network Security,1107.txt,
126,F56155A0A9cE693,Cole-Gordon,http_colon_//bauer.biz/,Bahrain,Distributed local implementation,2017,Furniture,7082.txt,
127,A8fBcDe7DcD5EF4,Burnett, Estes and Bush,http_colon_//www.barrett.com/,Yemen,Front-line tangible open system,2012,Paper / Forest Products,5608.txt
128,d41EdeefDcd9E33,Bautista PLC,http_colon_//www.oconnell.biz/,Rwanda,Progressive 3rdgeneration knowledge user,1987,Nanotechnology,7917.txt,
129,bdf1B9F31A0daCB,Alvarado Inc,http_colon_//www.bowen-callahan.org/,Bhutan,Enhanced client-server leverage,2020,Hospitality,4256.txt,
13,4EB9d3E5cF79b91,Bernard, Payne and Spencer,http_colon_//williamson.net/,Afghanistan,Polarized dynamic projection,1990,Transportation,730.txt
130,5FBF974EC5AaDd4,Rios, Floyd and Diaz,http_colon_//www.davis.org/,South Georgia and the South Sandwich Islands,Exclusive object-oriented firmware,1975,Farming,2319.txt
131,F4BDEc9dBC6fD93,Pacheco-Bruce,http_colon_//duffy-kent.com/,Ecuador,Open-architected radical website,1982,Furniture,20.txt,
132,e00A9bD20C3D36d,Mckenzie, Mcclain and Benson,http_colon_//sheppard.org/,New Zealand,Universal multimedia utilization,1973,Think Tanks,5644.txt
133,cb63A5285E8ADa9,Hodges-Rollins,https_colon_//www.conway.biz/,Tanzania,Re-contextualized real-time task-force,1970,Mechanical or Industrial Engineering,8970.txt,
134,aEA01BCfC2356ea,Baker-Sexton,https_colon_//www.sheppard.com/,Portugal,Cross-platform tertiary neural-net,2007,Commercial Real Estate,2441.txt,
136,8Bb4d87c9E9b58d,Livingston, Stein and Byrd,https_colon_//jackson.biz/,India,Phased system-worthy parallelism,2019,Internet,8578.txt
137,9Fe8c132becBbc3,Sweeney-Melendez,http_colon_//cardenas-mendoza.com/,United Kingdom,Networked national installation,1984,Newspapers / Journalism,4206.txt,
138,4BEaCCfEc62bbD7,Vaughan LLC,http_colon_//www.cantu.info/,Dominican Republic,Fundamental bifurcated support,2015,Banking / Mortgage,7755.txt,
139,c3C4eaDedDCaacb,Pitts Ltd,https_colon_//www.patrick-townsend.com/,Georgia,Adaptive system-worthy knowledgebase,1989,Public Relations / PR,2674.txt,
14,e5CA6529DCD4030,Mcpherson-Blanchard,http_colon_//www.ward.com/,Bulgaria,Integrated didactic product,1972,Law Enforcement,9890.txt,
140,E3bE91a65f9A038,Drake LLC,http_colon_//mitchell-melton.com/,Vanuatu,Total modular intranet,1971,Restaurants,9615.txt,
